Sector,Escenario,Metrica,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Cement,BBVA CPS WEO2025,kg CO2/t,699.27,704.34,709.44,714.58,717.12,715.46,713.81,712.19,710.58,708.99,707.42,705.87,704.34,702.82,701.31,699.83,698.36,696.90,695.46,694.03,692.62,691.27,689.92,688.58,687.25,685.93,684.71,683.50,682.28,681.07,679.86
Cement,BBVA STEPS WEO2025,kg CO2/t,699.27,704.34,709.44,714.58,717.12,714.98,712.86,710.76,708.67,706.60,704.55,702.51,700.48,698.47,696.48,694.50,692.55,690.61,688.69,686.78,684.89,680.94,677.02,673.13,669.27,665.44,660.21,655.01,649.85,644.74,639.66
Cement,BBVA NZ WEO2025,kg CO2/t,699.27,704.34,709.44,714.58,717.12,697.22,677.26,657.24,637.15,617.00,596.79,576.51,556.16,535.75,515.28,494.74,451.73,408.15,363.99,319.24,273.90,245.02,215.84,186.37,156.60,126.53,105.18,83.52,61.56,39.29,16.71
Cement,BBVA NZ WEO2021,kg CO2/t,699.27,680.56,661.84,643.13,624.41,605.70,581.41,557.12,532.83,508.54,484.25,466.40,448.56,430.71,412.87,395.02,384.00,372.97,361.95,350.92,339.90,330.38,320.87,311.35,301.84,292.32,283.47,274.61,265.76,256.91,248.05
Steel,BBVA CPS WEO2025,kg CO2/t,1271.77,1261.05,1250.41,1239.87,1248.13,1237.65,1227.38,1217.30,1207.42,1197.73,1188.22,1178.89,1169.74,1160.75,1151.92,1143.25,1134.10,1125.14,1116.37,1107.79,1099.39,1090.73,1082.23,1073.90,1065.72,1057.69,1049.39,1041.22,1033.18,1025.27,1017.48
Steel,BBVA STEPS WEO2025,kg CO2/t,1271.77,1261.05,1250.41,1239.87,1248.13,1229.98,1212.19,1194.74,1177.62,1160.83,1144.35,1128.18,1112.31,1096.73,1081.43,1066.40,1052.67,1039.21,1025.99,1013.02,1000.29,985.48,970.94,956.68,942.69,928.95,912.70,896.75,881.11,865.75,850.68
Steel,BBVA NZ WEO2025,kg CO2/t,1271.77,1261.05,1250.41,1239.87,1248.13,1210.30,1172.70,1135.33,1098.18,1061.25,1024.55,988.06,951.79,915.73,879.89,844.26,783.05,721.81,660.54,599.25,537.92,486.39,434.71,382.88,330.90,278.77,242.43,205.99,169.46,132.83,96.10
Steel,BBVA NZ WEO2021,kg CO2/t,1271.77,1226.27,1180.77,1135.28,1089.78,1044.28,969.05,893.83,818.60,743.38,668.15,613.90,559.65,505.40,451.15,396.90,364.37,331.84,299.31,266.78,234.25,213.31,192.38,171.45,150.51,129.58,116.81,104.04,91.28,78.51,65.74
Aviation,BBVA CPS WEO2025,g CO2/pkm,,,102.68,101.27,97.11,95.52,94.06,92.71,91.47,90.32,89.25,88.25,87.32,86.44,85.62,84.85,84.15,83.48,82.84,82.24,81.66,81.14,80.65,80.17,79.72,79.29,78.39,77.53,76.69,75.89,75.11
Aviation,BBVA STEPS WEO2025,g CO2/pkm,,,102.68,101.27,97.11,96.38,95.70,95.07,94.48,93.92,93.40,92.91,92.44,92.00,91.58,91.19,89.45,87.82,86.28,84.83,83.47,81.80,80.23,78.76,77.37,76.06,74.07,72.20,70.44,68.79,67.22
