scenario,vintage,scope,year,value,unit,source
CPS,WEO2025,Global Oil (A.4),2021,11257,Mt CO2,reported
CPS,WEO2025,Global Gas (A.4),2021,10804,Mt CO2,reported
CPS,WEO2025,Global O&G (A.4),2021,22061,Mt CO2,reported
CPS,WEO2025,Global Oil (A.4),2022,11559,Mt CO2,reported
CPS,WEO2025,Global Gas (A.4),2022,10700,Mt CO2,reported
CPS,WEO2025,Global O&G (A.4),2022,22259,Mt CO2,reported
CPS,WEO2025,Global Oil (A.4),2023,12056,Mt CO2,reported
CPS,WEO2025,Global Gas (A.4),2023,10864,Mt CO2,reported
CPS,WEO2025,Global O&G (A.4),2023,22920,Mt CO2,reported
CPS,WEO2025,Global Oil (A.4),2024,12124,Mt CO2,reported
CPS,WEO2025,Global Gas (A.4),2024,11113,Mt CO2,reported
CPS,WEO2025,Global O&G (A.4),2024,23237,Mt CO2,reported
CPS,WEO2025,Global Oil (A.4),2025,12082.363636,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2025,11287.454545,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2025,23369.818182,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2026,12040.727273,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2026,11461.909091,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2026,23502.636364,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2027,11999.090909,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2027,11636.363636,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2027,23635.454545,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2028,11957.454545,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2028,11810.818182,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2028,23768.272727,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2029,11915.818182,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2029,11985.272727,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2029,23901.090909,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2030,11874.181818,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2030,12159.727273,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2030,24033.909091,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2031,11832.545455,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2031,12334.181818,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2031,24166.727273,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2032,11790.909091,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2032,12508.636364,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2032,24299.545455,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2033,11749.272727,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2033,12683.090909,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2033,24432.363636,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2034,11707.636364,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2034,12857.545455,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2034,24565.181818,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2035,11666,Mt CO2,reported
CPS,WEO2025,Global Gas (A.4),2035,13032,Mt CO2,reported
CPS,WEO2025,Global O&G (A.4),2035,24698,Mt CO2,reported
CPS,WEO2025,Global Oil (A.4),2036,11661.6,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2036,13123.6,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2036,24785.2,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2037,11657.2,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2037,13215.2,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2037,24872.4,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2038,11652.8,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2038,13306.8,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2038,24959.6,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2039,11648.4,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2039,13398.4,Mt CO2,interp_lineal
