Banco,Sector,Sector normalizado,"Alcance (subsector o actividades, y alcance de emisiones, 1,2,3)","Sector Boundaries (parte de la cadena de valor, por ejemplo upstream, manufactures...)","Activities scope (Ammount drawn, undrawn, Debt financing,  Equity financing,  Capital markets...)",Cobertura Geográfica,"Cobertura de la entidad (CIB, Retail, etc)",Metodología de referencia,Escenario de referencia (Contempla un rango),Métrica del objetivo,Data source,Año base,Último año reportado,Año Objetivo,Emisiones o Intensidad año base,Emisiones o Intensidad año 2023,Emisiones o Intensidad año 2024,Emisiones o Intensidad año 2025,Emisiones o Intensidad año 2026,Emisiones o Intensidad año objetivo,Porcentaje de reducción (año base vs año objetivo),Porcentaje de reducción (YTD),CAGR Anual Objetivo,Cumplimiento/alineamiento,Validación por un tercero,Moneda,Portfolio Amount sujeta al objetivo ($bn),Peso dentro del Portfolio (incluye portfolio total),Media del mercado para el año actual,Emisiones absolutas,Emisiones Facilitadas,Volumen de financiacion/movilización sostenible,ESBR o ESR,Porcentaje de CAPEX Verde de las Contrapartes,Implied Temperature Rise (ITR),Climate - Related Value at Risk (CVaR),Plan de transición definido,Última actualización,Fuente de información,Página (Link),Comentarios
Banco Santander S.A.,Generación de energía eléctrica,Power,Scope 1,Upstream - Generation,,Global,CIB,PCAF,IEA NZE2050 - APS (2024),kgCO2e/MWh,,2023,2024,2030,149,149,88,,,102,"0,32","-0,41",,,,EUR,"12,16 (2024)",,,"2,07 MtCO2e (2024)",,174 €bn acumulado 2019-2025,,,,,Sí,46054,Santander Informe anual 2025,"p. 61, 65, 137",
Banco Santander S.A.,Generación de energía eléctrica,Power,Scope 1,Upstream - Generation,,Global,CIB,PCAF,IEA NZE2050 - APS (2024),kgCO2e/MWh,,2023,2024,2030,149,149,88,,,124,"0,17","-0,41",,,,EUR,"12,16 (2024)",,,"2,07 MtCO2e (2024)",,174 €bn acumulado 2019-2025,,,,,Sí,46054,Santander Informe anual 2025,"p. 61, 65, 137",
Banco Santander S.A.,Petróleo y gas,Oil & Gas,Scope 1+2,Upstream - Extraction; Integrated/Diversified,,Global,CIB,PCAF,IEA NZE2050 - APS (2023),tCO2e/TJ,,2023,2024,2030,"3,08","3,08","3,15",,,"2,31","0,25","0,02",,,,EUR,"5,44 (2024)",,,"0,71 MtCO2e (2024)",,,,,,,Sí,46054,Santander Informe anual 2025,"p. 61, 65, 137",El alcance 3 se monitoriza mediante el índice de energía primaria.
Banco Santander S.A.,Petróleo y gas,Oil & Gas,Scope 1+2,Upstream - Extraction; Integrated/Diversified,,Global,CIB,PCAF,IEA NZE2050 - APS (2023),tCO2e/TJ,,2023,2024,2030,"3,08","3,08","3,15",,,"3,03","0,02","0,02",,,,EUR,"5,44 (2024)",,,"0,71 MtCO2e (2024)",,,,,,,Sí,46054,Santander Informe anual 2025,"p. 61, 65, 137",El alcance 3 se monitoriza mediante el índice de energía primaria.
Banco Santander S.A.,Acero,Steel,Scope 1+2,Upstream - Manufacturing,,Global,CIB,PCAF,IEA NZE2050 - APS (2024),tCO2e/tS,,2023,2024,2030,"1,47","1,47","1,51",,,"1,17","0,20","0,03","-3,21%",,,EUR,"1,47 (2024)",,,"1,36 MtCO2e (2024)",,,,,,,Sí,46054,Santander Informe anual 2025,"p. 61, 65, 137",
Banco Santander S.A.,Acero,Steel,Scope 1+2,Upstream - Manufacturing,,Global,CIB,PCAF,IEA NZE2050 - APS (2024),tCO2e/tS,,2023,2024,2030,"1,47","1,47","1,51",,,"1,28","0,13","0,03","-1,96%",,,EUR,"1,47 (2024)",,,"1,36 MtCO2e (2024)",,,,,,,Sí,46054,Santander Informe anual 2025,"p. 61, 65, 137",
Banco Santander S.A.,Fabricación de automóviles,Automotive,Scope 3,Downstream - Manufacturing; End product (Uso de productos vendidos),,Global,CIB,PCAF,IEA NZE2050 - APS (2024),gCO2e/vkm,,2023,2024,2030,135,135,128,,,80,"0,41","-0,05",,,,EUR,"3,65 (2024)",,,"2,15 MtCO2e (2024)",,,,,,,Sí,46054,Santander Informe anual 2025,"p. 61, 66, 137",
Banco Santander S.A.,Fabricación de automóviles,Automotive,Scope 3,Downstream - Manufacturing; End product (Uso de productos vendidos),,Global,CIB,PCAF,IEA NZE2050 - APS (2024),gCO2e/vkm,,2023,2024,2030,135,135,128,,,98,"0,27","-0,05",,,,EUR,"3,65 (2024)",,,"2,15 MtCO2e (2024)",,,,,,,Sí,46054,Santander Informe anual 2025,"p. 61, 66, 137",
Banco Santander S.A.,Carbón térmico,Thermal Coal Mining,,Generation (>10% ingresos); Mining,,Global,CIB,,No declarado,Miles de millones de euros,,,2025,2030,,"4,4","4,2","2,3",,0,,,,,,EUR,"2,3 (2025)",,,,,,,,,,Sí,46054,Santander Informe anual 2025,"p. 61, 67, 68",Objetivo de eliminación gradual de la exposición.
Banco Santander S.A.,Energía primaria,Power,Scope 3,Upstream - Generation; Midstream - Distribution; Downstream - End product,,Global,Whole bank,PCAF,No declarado,tCO2e/TJ,,,2024,Seguimiento,,"45,1",42,,,,,,,,,EUR,"17,12 (2024)",,,"12,65 MtCO2e (2024)",,,,,,,Sí,46054,Santander Informe anual 2025,"p. 61, 68, 137",
Banco Santander S.A.,Aviación,Aviation,Scope 1,Downstream - Airliners,,Global,CIB,PCAF,No declarado,gCO2e/RPK,,,2024,Seguimiento,,83,78,,,,,,,,,EUR,"0,53 (2024)",,,"0,46 MtCO2e (2024)",,,,,,,Sí,46054,Santander Informe anual 2025,"p. 61, 68, 137",Pasó de objetivo a seguimiento en 2025.
