sector,scenario,vintage,metric,unit,year,value
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2020,699.27
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2021,704.34
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2022,709.44
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2023,714.58
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2024,717.12
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2025,715.46
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2026,713.81
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2027,712.19
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2028,710.58
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2029,708.99
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2030,707.42
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2031,705.87
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2032,704.34
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2033,702.82
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2034,701.31
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2035,699.83
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2036,698.36
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2037,696.90
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2038,695.46
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2039,694.03
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2040,692.62
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2041,691.27
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2042,689.92
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2043,688.58
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2044,687.25
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2045,685.93
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2046,684.71
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2047,683.50
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2048,682.28
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2049,681.07
cement,CPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2050,679.86
cement,STEPS_WEO2025,WEO2025,emission_intensity,kg CO2/t,2020,699.27
