Sector,Clave_busqueda,Escenario,Serie,Unidad,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Cement,Cement,CPS,Intensidad,t CO2/t,0.553,0.557,0.561,0.565,0.569,0.574,0.578,0.582,0.586,0.588,0.587,0.586,0.584,0.583,0.582,0.580,0.579,0.578,0.577,0.575,0.574,0.573,0.572,0.570,0.569,0.568,0.567,0.566,0.565,0.564,0.563,0.562,0.561,0.560,0.559,0.558
Cement,Cement,STEPS,Intensidad,t CO2/t,0.553,0.557,0.561,0.565,0.569,0.574,0.578,0.582,0.586,0.588,0.586,0.585,0.583,0.581,0.580,0.578,0.576,0.575,0.573,0.571,0.570,0.568,0.567,0.565,0.563,0.562,0.559,0.555,0.552,0.549,0.546,0.542,0.537,0.533,0.529,0.52
Cement,Cement,NZE,Intensidad,t CO2/t,0.553,0.557,0.561,0.565,0.569,0.574,0.578,0.582,0.586,0.588,0.572,0.556,0.539,0.523,0.506,0.490,0.473,0.456,0.439,0.423,0.406,0.371,0.335,0.299,0.262,0.225,0.201,0.177,0.153,0.128,0.104,0.086,0.069,0.051,0.032,0.01
Steel,Steel,CPS,Intensidad,t CO2/t,1.553,1.540,1.527,1.514,1.501,1.488,1.476,1.463,1.451,1.461,1.448,1.436,1.425,1.413,1.402,1.391,1.380,1.369,1.358,1.348,1.338,1.327,1.317,1.307,1.296,1.287,1.277,1.267,1.257,1.247,1.238,1.228,1.219,1.209,1.200,1.19
Steel,Steel,STEPS,Intensidad,t CO2/t,1.553,1.540,1.527,1.514,1.501,1.488,1.476,1.463,1.451,1.461,1.439,1.419,1.398,1.378,1.359,1.339,1.320,1.302,1.284,1.266,1.248,1.232,1.216,1.201,1.186,1.171,1.153,1.136,1.120,1.103,1.087,1.068,1.049,1.031,1.013,1.00
Steel,Steel,NZE,Intensidad,t CO2/t,1.553,1.540,1.527,1.514,1.501,1.488,1.476,1.463,1.451,1.461,1.416,1.372,1.329,1.285,1.242,1.199,1.156,1.114,1.072,1.030,0.988,0.916,0.845,0.773,0.701,0.630,0.569,0.509,0.448,0.387,0.326,0.284,0.241,0.198,0.155,0.11
Aviation,Aviation,CPS,Intensidad,g CO2/pkm,127.1,125.4,123.7,122.0,120.3,118.7,117.0,115.4,113.8,109.2,107.4,105.7,104.2,102.8,101.5,100.3,99.2,98.1,97.2,96.2,95.4,94.6,93.8,93.1,92.4,91.8,91.2,90.7,90.1,89.6,89.1,88.1,87.1,86.2,85.3,84.43
Aviation,Aviation,STEPS,Intensidad,g CO2/pkm,127.1,125.4,123.7,122.0,120.3,118.7,117.0,115.4,113.8,109.2,108.3,107.6,106.9,106.2,105.6,105.0,104.4,103.9,103.4,102.9,102.5,100.5,98.7,97.0,95.4,93.8,91.9,90.2,88.5,87.0,85.5,83.3,81.2,79.2,77.3,75.56
Aviation,Aviation,NZE,Intensidad,g CO2/pkm,127.1,125.4,123.7,122.0,120.3,118.7,117.0,115.4,113.8,109.2,105.8,102.6,99.6,96.8,94.1,91.6,89.2,86.9,84.7,82.7,80.7,76.7,72.7,68.8,65.0,61.2,57.2,53.2,49.3,45.6,41.9,37.4,33.1,28.8,24.7,20.75
Automotive,Automotive,CPS,Intensidad,g CO2/pkm,148.4,145.5,142.8,140.1,137.4,134.8,132.2,129.7,127.2,124.2,119.9,115.9,112.1,108.5,105.1,101.9,98.8,95.9,93.1,90.4,87.8,85.4,83.0,80.8,78.7,76.6,75.3,74.0,72.8,71.7,70.5,69.8,69.2,68.5,67.9,67.29
Automotive,Automotive,STEPS,Intensidad,g CO2/pkm,148.4,145.5,142.8,140.1,137.4,134.8,132.2,129.7,127.2,124.2,119.7,115.5,111.5,107.7,104.0,100.5,97.2,94.0,90.9,88.0,85.2,81.9,78.8,75.8,73.0,70.3,67.9,65.7,63.5,61.5,59.5,57.7,56.1,54.5,52.9,51.49
Automotive,Automotive,NZE,Intensidad,g CO2/pkm,148.4,145.5,142.8,140.1,137.4,134.8,132.2,129.7,127.2,124.2,115.7,107.6,99.9,92.6,85.5,78.7,72.2,66.0,60.0,54.2,48.7,42.8,37.1,31.6,26.4,21.3,18.5,15.8,13.1,10.6,8.1,6.9,5.9,4.8,3.8,2.81
Commercial RE,Commercial RE,CPS,Intensidad,kg CO2/m2,20.01,19.26,18.54,17.85,17.18,16.54,15.92,15.32,14.75,14.42,14.02,13.64,13.27,12.92,12.58,12.26,11.95,11.65,11.37,11.09,10.82,10.59,10.35,10.13,9.91,9.70,9.57,9.44,9.31,9.19,9.07,8.96,8.85,8.75,8.64,8.54
